alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,toughness,young_mod,frac_stress,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.4_0.6_0_0_0_3,2.25289372570802,-2.86120138059639,5.50065607538486,2.84089521402444,-0.369400303300789,-0.0736017758030645,0.312762874247993,217.01058025625,9.39145261454615,MoNb,0.4,0.6,0,0,0,3,0,38
0.4_0_0.6_0_0_1,2.24740094694679,-2.6063965473757,5.85229972862981,2.91461550089015,-0.575259996042866,-0.152921243367625,0.430064205372082,185.790785972451,9.21621553594728,MoTa,0.4,0,0.6,0,0,1,0,39
0.4_0_0.6_0_0_2,2.24566539193322,-2.6621212692138,5.65577438555678,2.89672168862802,-0.477480984647222,-0.13680390361911,0.392930289230025,185.203154697556,9.24532141689408,MoTa,0.4,0,0.6,0,0,2,0,39
0.4_0_0.6_0_0_3,2.24648217085864,-2.60639654737572,5.84710175371968,2.91190075529449,-0.577578969828149,-0.153955399494861,0.429684431045309,185.786361200188,9.19859193072976,MoTa,0.4,0,0.6,0,0,3,0,39
0.4_0_0_0.6_0_1,2.38486039097547,-2.73954086819359,5.8811311206109,3.1498901952135,-0.233090810784211,-0.0182353695922219,0.377774253173949,199.231760625589,10.7450964422982,MoV,0.4,0,0,0.6,0,1,0,40
0.4_0_0_0.6_0_2,2.39901451370629,-2.70306265959116,6.05249785239721,3.22583496693032,-0.257842622221099,-0.0237405350098823,0.403323861617968,198.896959293697,10.9796143720201,MoV,0.4,0,0,0.6,0,2,0,40
0.4_0_0_0.6_0_3,2.39391987898669,-2.71810053695571,5.9889491211065,3.19546118531706,-0.247249294959012,-0.0207976902717334,0.393093668113593,199.174412918269,10.8942223095622,MoV,0.4,0,0,0.6,0,3,0,40
0.4_0_0_0_0.6_1,2.6775471408709,-3.09665819214397,7.91140021738593,4.29145126546428,-0.28413968780638,-0.0395243726780626,0.354683419640539,372.068246151795,14.5609901158594,MoW,0.4,0,0,0,0.6,1,0,41
0.4_0_0_0_0.6_2,2.67545107787501,-3.10109278921181,7.87909315364558,4.27966248215906,-0.280316595568443,-0.0393871287449804,0.351656485757126,372.103994538467,14.5169175703382,MoW,0.4,0,0,0,0.6,2,0,41
0.4_0_0_0_0.6_3,2.66898905372162,-3.12356564506388,7.73170230133542,4.21320045577011,-0.261576396104282,-0.0352421549042498,0.337334449393698,372.107895119297,14.305601957525,MoW,0.4,0,0,0,0.6,3,0,41
0.503329559403349_0.247824139044354_0.188119014393079_0.00428983457920873_0.0564374525800091_1,2.42767883118138,-3.22892616072169,6.29654292233837,2.92056584910841,-0.187092532358888,-0.0241653102644295,0.246988877967457,285.766398362618,10.8381670945392,MoNbTaVW,0.503329559403349,0.247824139044354,0.188119014393079,0.00428983457920873,0.0564374525800091,1,4,30
0.503329559403349_0.247824139044354_0.188119014393079_0.00428983457920873_0.0564374525800091_2,2.43234073340842,-3.17008566069878,6.48505782375042,3.05513819436137,-0.222090893305385,-0.026770414528667,0.269973752379501,287.262703170738,11.1769980739834,MoNbTaVW,0.503329559403349,0.247824139044354,0.188119014393079,0.00428983457920873,0.0564374525800091,2,4,30
0.503329559403349_0.247824139044354_0.188119014393079_0.00428983457920873_0.0564374525800091_3,2.37268290734494,-3.31869616015041,5.95713210591349,2.72645212984757,-0.154250749472407,-0.0144416234651569,0.213400640238055,286.482202830536,10.2580497228358,MoNbTaVW,0.503329559403349,0.247824139044354,0.188119014393079,0.00428983457920873,0.0564374525800091,3,4,30
0.504239736400679_0.247380428204709_0.204703754034917_0.037834383181405_0.00584169817828904_1,2.36241531145456,-3.27544617635657,6.07736194498981,2.72562859578826,-0.166055425326116,-0.0166964887744627,0.227439123250485,277.156657586008,10.3473393443438,MoNbTaVW,0.504239736400679,0.247380428204709,0.204703754034917,0.037834383181405,0.00584169817828904,1,5,29
0.504239736400679_0.247380428204709_0.204703754034917_0.037834383181405_0.00584169817828904_2,2.40876236833186,-3.24933503235291,6.31568319862541,2.76144463099153,-0.178167148926229,-0.0213846695864569,0.242678730065084,275.633994301898,10.610077041728,MoNbTaVW,0.504239736400679,0.247380428204709,0.204703754034917,0.037834383181405,0.00584169817828904,2,5,29
0.504239736400679_0.247380428204709_0.204703754034917_0.037834383181405_0.00584169817828904_3,2.41615363458751,-3.07911388249305,5.9740342097919,3.26170683674843,-0.185186657595547,-0.0757256086316367,0.272579084794266,268.349389068662,10.9810046958704,MoNbTaVW,0.504239736400679,0.247380428204709,0.204703754034917,0.037834383181405,0.00584169817828904,3,5,29
0.511625604836722_0.228321557179184_0.217815058158683_0.0118242338074101_0.0304135460180009_1,2.43985053629495,-2.97201574693667,5.89982597795466,3.48286910112332,-0.122219730706544,-0.205387873303401,0.299818986771061,227.880479515203,11.1001106699946,MoNbTaVW,0.511625604836722,0.228321557179184,0.217815058158683,0.0118242338074101,0.0304135460180009,1,8,28
